edge_id,edge_present
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,0
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,1
